label,text
spam,"Gana un iPhone gratis hoy! Solo envía tu nombre y dirección."
spam,"¡Felicidades! Has ganado un premio, haz click aquí para reclamar."
spam,"Oferta limitada: compra 1 y llévate 2 gratis."
spam,"Haz clic aquí para recibir tu regalo exclusivo."
spam,"Gana dinero rápido desde casa, sin experiencia."
spam,"¡Última oportunidad! Promoción válida solo hoy."
spam,"Consigue tu tarjeta regalo de Amazon gratis."
spam,"Gana entradas para el concierto enviando tu número de teléfono."
spam,"Oferta especial: 50% de descuento en todos los productos."
spam,"Haz click para participar en la rifa y ganar premios."
spam,"Regístrate ahora y recibe un bono de bienvenida."
spam,"Promoción exclusiva: productos gratis por tiempo limitado."
spam,"Gana un viaje todo pagado a Cancún, participa ahora."
spam,"Haz clic aquí y obtén un cupón de descuento inmediato."
spam,"Oferta relámpago: consigue productos de lujo sin pagar."
spam,"Gana criptomonedas gratis siguiendo estos pasos."
spam,"Participa y gana vales de compra para tu tienda favorita."
spam,"Recibe tu premio ingresando tus datos personales aquí."
spam,"Promoción limitada: compra hoy y recibe otro producto gratis."
spam,"¡No te pierdas esta oportunidad! Regístrate y gana premios."
